name,type,licence,county,township,lot,conc,total depth date,plugged date,latitude,longitude,url
F005933_MOSA000_ELEC,ELEC,F005933,NULL,NULL,,,NULL,NULL,42.75806722,-81.79192056,http://www.ogsrlibrary.com/logs/view/F005933_MOSA000_ELEC
F005959_MOSA000_ELEC,ELEC,F005959,NULL,NULL,,,NULL,NULL,42.75895111,-81.79303083,http://www.ogsrlibrary.com/logs/view/F005959_MOSA000_ELEC
F005959_MOSA000_GRL0,GRL0,F005959,NULL,NULL,,,NULL,NULL,42.75895111,-81.79303083,http://www.ogsrlibrary.com/logs/view/F005959_MOSA000_GRL0
F013469_MOSA000_GRN1,GRN1,F013469,NULL,NULL,,,NULL,NULL,42.75651139,-81.78768167,http://www.ogsrlibrary.com/logs/view/F013469_MOSA000_GRN1
F013469_MOSA000_GRN2,GRN2,F013469,NULL,NULL,,,NULL,NULL,42.75651139,-81.78768167,http://www.ogsrlibrary.com/logs/view/F013469_MOSA000_GRN2
F013469_MOSA000_GRN3,GRN3,F013469,NULL,NULL,,,NULL,NULL,42.75651139,-81.78768167,http://www.ogsrlibrary.com/logs/view/F013469_MOSA000_GRN3
F013469_MOSA000_GRN4,GRN4,F013469,NULL,NULL,,,NULL,NULL,42.75651139,-81.78768167,http://www.ogsrlibrary.com/logs/view/F013469_MOSA000_GRN4
F013799_ENNISKI_GRNL,GRNL,F013799,NULL,NULL,,,NULL,NULL,NULL,NULL,http://www.ogsrlibrary.com/logs/view/F013799_ENNISKI_GRNL
F005959_MOSA000_REST,REST,F005959,NULL,NULL,,,NULL,NULL,42.75895111,-81.79303083,http://www.ogsrlibrary.com/logs/view/F005959_MOSA000_REST
F013469_MOSA000_RTRS,RTRS,F013469,NULL,NULL,,,NULL,NULL,42.75651139,-81.78768167,http://www.ogsrlibrary.com/logs/view/F013469_MOSA000_RTRS
T005035A_LAKE067_CMPL,CMPL,T005035A,NULL,Lake Erie,67,Q,6/29/1979 0:00,NULL,42.6139525,-79.88867944,http://www.ogsrlibrary.com/logs/view/T005035A_LAKE067_CMPL
T005035A_LAKE067_CNFD,CNFD,T005035A,NULL,Lake Erie,67,Q,6/29/1979 0:00,NULL,42.6139525,-79.88867944,http://www.ogsrlibrary.com/logs/view/T005035A_LAKE067_CNFD
T005035A_LAKE067_DLL0,DLL0,T005035A,NULL,Lake Erie,67,Q,6/29/1979 0:00,NULL,42.6139525,-79.88867944,http://www.ogsrlibrary.com/logs/view/T005035A_LAKE067_DLL0
