Filename,Eye Alt (m),Latitude,Longitude,General Location
01_large.jpg,3000,"29°22'16.84""N","94°55'46.18""W","Texas City, Texas, United States"
02_large.jpg,3000,"29°22'17.46""N","94°53'59.82""W","Texas City, Texas, United States"
03_large.jpg,3000,"28°56'42.65""N","95°19'34.26""W","Brazosport, Texas, United States"
04_large.jpg,3000,"28°59'43.65""N","95°23'50.35""W","Clute, Texas, United States"
05_large.jpg,3000,"29°43'7.97""N","95°14'54.80""W","Houston, Texas, United States"
06_large.jpg,3000,"29°43'16.63""N","95°13'8.45""W","Houston, Texas, United States"
07_large.jpg,3000,"29°43'38.85""N","95°10'26.30""W","Houston, Texas, United States"
08_large.jpg,3000,"29°44'22.22""N","95°12'26.96""W","Houston, Texas, United States"
09_large.jpg,3000,"29°44'41.61""N","95° 6'15.91""W","Houston, Texas, United States"
10_large.jpg,3000,"29°45'5.99""N","95° 7'49.92""W","Houston, Texas, United States"
11_large.jpg,3000,"29°43'13.18""N","95° 7'38.20""W","Houston, Texas, United States"
12_large.jpg,3000,"29°44'22.19""N","95° 0'23.07""W","Houston, Texas, United States"
13_large.jpg,2000,"29°55'54.38""N","89°58'0.29""W","Chalmette, Louisiana, United States"
14_large.jpg,3000,"35°56'20.12""N","96°44'58.92""W","Cushing, Oklahoma, United States"
15_large.jpg,3000,"35°56'58.60""N","96°43'49.08""W","Cushing, Oklahoma, United States"
16_large.jpg,2000,"36° 0'47.72""N","96°45'8.24""W","Cushing, Oklahoma, United States"
17_large.jpg,3000,"30° 0'6.07""N","94° 3'44.45""W","Nederland, Texas, United States"
18_large.jpg,2000,"30° 4'6.35""N","94° 4'5.82""W","Nederland, Texas, United States"
19_large.jpg,3000,"30° 0'0.45""N","93°59'12.01""W","Nederland, Texas, United States"
20_large.jpg,3000,"29°52'52.30""N","93°57'54.97""W","Nederland, Texas, United States"
21_large.jpg,3000,"30° 0'49.20""N","90°51'4.55""W","Convent, Louisiana, United States"
22_large.jpg,3000,"30° 6'58.97""N","90°53'53.44""W","Convent, Louisiana, United States"
23_large.jpg,3000,"30°12'24.96""N","91° 0'29.25""W","Geismar, Louisiana, United States"
24_large.jpg,3000,"30°19'28.58""N","91°14'15.79""W","Morrisonville, Louisiana, United States"
25_large.jpg,3000,"30°29'16.69""N","91°10'52.81""W","Baton Rouge, Louisiana, United States"
26_large.jpg,3000,"30°20'42.17""N","88°29'31.38""W","Moss Point, Mississippi, United States"
27_large.jpg,3000,"33°48'23.39""N","118°14'16.81""W","Long Beach, California, United States"
28_large.jpg,2000,"33°46'27.36""N","118°17'18.43""W","Long Beach, California, United States"
29_large.jpg,3000,"33°54'36.91""N","118°24'43.36""W","El Segundo, California, United States"
30_large.jpg,3000,"37°56'23.59""N","122°24'4.95""W","Richmond, California, United States"
31_large.jpg,3000,"38° 2'40.91""N","122°15'4.30""W","Tormey, California, United States"
32_large.jpg,3000,"8°22'49.69""S","35° 1'8.23""W","Ipojuca, Brazil"
33_large.jpg,3000,"23°52'30.28""S","46°26'23.22""W","Cubatão, Brazil"
34_large.jpg,3000,"10°19'38.11""N"," 75°29'34.35""W","Casablanca, Colombia"
